Mantra Number,Mantra,Chanda,Devata,Rishi,Padpath,URL,ScrapedAtUTC
2,त्व꣡म꣢ग्ने य꣣ज्ञा꣢ना꣣ꣳ हो꣢ता꣣ वि꣡श्वे꣢षाꣳ हि꣣तः꣢ । दे꣣वे꣢भि꣣र्मा꣡नु꣢षे꣣ ज꣡ने꣢ ॥२॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,त्व꣢म् । अ꣣ग्ने । यज्ञा꣡ना꣢म् । हो꣡ता꣢꣯ । वि꣡श्वे꣢꣯षाम् । हि꣣तः꣢ । दे꣣वे꣡भिः꣢ । मा꣡नु꣢꣯षे । ज꣡ने꣢꣯ ॥२॥,https://www.xn--j2b3a4c.com/samveda/2,2025-12-06T06:34:17.971111
3,अ꣣ग्निं꣢ दू꣣तं꣡ वृ꣢णीमहे꣣ हो꣡ता꣢रं वि꣣श्व꣡वे꣢दसम् । अ꣣स्य꣢ य꣣ज्ञ꣡स्य꣢ सु꣣क्र꣡तु꣢म् ॥३॥,गायत्री,अग्निः,मेधातिथिः काण्वः,अ꣣ग्नि꣢म् । दू꣣त꣢म् । वृ꣣णीमहे । हो꣡ता꣢꣯रम् । वि꣣श्व꣡वे꣢दसम् । वि꣣श्व꣢ । वे꣣दसम् । अस्य꣢ । य꣣ज्ञ꣡स्य꣢ । सु꣣क्र꣡तु꣢म् । सु꣣ । क्र꣡तु꣢꣯म् ॥३॥,https://www.xn--j2b3a4c.com/samveda/3,2025-12-06T06:34:19.818520
4,अ꣣ग्नि꣢र्वृ꣣त्रा꣡णि꣢ जङ्घनद्द्रविण꣣स्यु꣡र्वि꣢प꣣न्य꣡या꣢ । स꣡मि꣢द्धः शु꣣क्र꣡ आहु꣢꣯तः ॥४॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,अ꣣ग्निः꣢ । वृ꣣त्रा꣡णि꣢ । ज꣣ङ्घनत् । द्रविणस्युः꣢ । वि꣣पन्य꣡या꣢ । स꣡मि꣢꣯द्धः । सम् । इ꣣द्धः । शुक्रः꣢ । आ꣡हु꣢꣯तः । आ । हु꣣तः ॥४॥,https://www.xn--j2b3a4c.com/samveda/4,2025-12-06T06:34:21.187222
5,प्रे꣡ष्ठं꣢ वो꣣ अ꣡ति꣢थिꣳ स्तु꣣षे꣢ मि꣣त्र꣡मि꣢व प्रि꣣य꣢म् । अ꣢ग्ने꣣ र꣢थं꣣ न꣡ वेद्य꣢꣯म् ॥५॥,गायत्री,अग्निः,उशना काव्यः,प्रे꣡ष्ठ꣢꣯म् । वः꣣ । अ꣡ति꣢꣯थिम् । स्तु꣣षे꣢ । मि꣣त्र꣢म् । मि꣣ । त्र꣢म् । इ꣣व । प्रिय꣢म् । अ꣡ग्ने꣢꣯ । र꣡थ꣢꣯म् । न । वे꣡द्य꣢꣯म् ॥५॥,https://www.xn--j2b3a4c.com/samveda/5,2025-12-06T06:34:23.013147
6,त्वं꣡ नो꣢ अग्ने꣣ म꣡हो꣢भिः पा꣣हि꣡ विश्व꣢꣯स्या꣣ अ꣡रा꣢तेः । उ꣣त꣢ द्वि꣣षो꣡ मर्त्य꣢꣯स्य ॥६॥,गायत्री,अग्निः,सुदीतिपुरुमीढावाङ्गिरसौ तयोर्वान्यतरः,त्व꣢म् । नः꣢ । अग्ने । म꣡हो꣢꣯भिः । पा꣣हि꣢ । वि꣡श्व꣢꣯स्य । अ꣡रा꣢꣯तेः । अ । रा꣣तेः । उत꣢ । द्वि꣣षः꣢ । म꣡र्त्य꣢꣯स्य ॥६॥,https://www.xn--j2b3a4c.com/samveda/6,2025-12-06T06:34:24.337243
7,ए꣢ह्यू꣣ षु꣡ ब्रवा꣢꣯णि꣣ ते꣡ऽग्न꣢ इ꣣त्थे꣡त꣢रा꣣ गि꣡रः꣢ । ए꣣भि꣡र्व꣢र्धास꣣ इ꣡न्दु꣢भिः ॥७॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,आ꣢ । इ꣣हि । उ । सु꣢ । ब्र꣡वा꣢꣯णि । ते꣣ । अ꣡ग्ने꣢꣯ । इ꣣त्था꣢ । इ꣡त꣢꣯राः । गि꣡रः꣢꣯ । ए꣣भिः꣢ । व꣣र्धासे । इ꣡न्दु꣢꣯भिः ॥७॥,https://www.xn--j2b3a4c.com/samveda/7,2025-12-06T06:34:25.917310
8,आ꣡ ते꣢ व꣣त्सो꣡ मनो꣢꣯ यमत्पर꣣मा꣡च्चि꣢त्स꣣ध꣡स्था꣢त् । अ꣢ग्ने꣣ त्वां꣢ का꣢मये गि꣣रा꣢ ॥८॥,गायत्री,अग्निः,वत्सः काण्वः,आ꣢ । ते꣣ । वत्सः꣢ । म꣡नः꣢꣯ । य꣣मत् । परमा꣢त् । चि꣣त् । सध꣡स्था꣢त् । स꣣ध꣢ । स्था꣣त् । अ꣡ग्ने꣢꣯ । त्वाम् । का꣣मये । गिरा꣢ ॥८॥,https://www.xn--j2b3a4c.com/samveda/8,2025-12-06T06:34:27.198664
9,त्वा꣡म꣢ग्ने꣣ पु꣡ष्क꣢रा꣣द꣡ध्यथ꣢꣯र्वा꣣ नि꣡र꣢मन्थत । मू꣣र्ध्नो꣡ विश्व꣢꣯स्य वा꣣घ꣡तः꣢ ॥९॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,त्वा꣢म् । अ꣣ग्ने । पु꣡ष्क꣢꣯रात् । अ꣡धि꣢꣯ । अ꣡थ꣢꣯र्वा । निः । अ꣣मन्थत । मूर्ध्नः꣢ । वि꣡श्व꣢꣯स्य । वा꣣घ꣡तः꣢ ॥९॥,https://www.xn--j2b3a4c.com/samveda/9,2025-12-06T06:34:30.132333
11,न꣡म꣢स्ते अग्न꣣ ओ꣡ज꣢से गृ꣣ण꣡न्ति꣢ देव कृ꣣ष्ट꣡यः꣢ । अ꣡मै꣢र꣣मि꣡त्र꣢मर्दय ॥११॥,गायत्री,अग्निः,आयुङ्क्ष्वाहिः,न꣡मः꣢꣯ । ते꣣ । अग्ने । ओ꣡ज꣢꣯से । गृ꣣ण꣡न्ति꣢ । दे꣣व । कृष्ट꣡यः꣢ । अ꣡मैः꣢꣯ । अ꣣मि꣡त्र꣢म् । अ꣣ । मि꣡त्र꣢꣯म् । अ꣣र्दय ॥११॥,https://www.xn--j2b3a4c.com/samveda/11,2025-12-06T06:34:33.937191
12,दू꣣तं꣡ वो꣢ वि꣣श्व꣡वे꣢दसꣳ हव्य꣣वा꣢ह꣣म꣡म꣢र्त्यम् । य꣡जि꣢ष्ठमृञ्जसे गि꣣रा꣢ ॥१२॥,गायत्री,अग्निः,वामदेवो गौतमः,दू꣣त꣢म् । वः꣣ । विश्व꣡वे꣢दसम् । वि꣣श्व꣢ । वे꣣दसम् । हव्यवा꣡ह꣢म् । ह꣣व्य । वा꣡ह꣢꣯म् । अ꣡म꣢꣯र्त्यम् । अ । म꣣र्त्यम् । य꣡जि꣢꣯ष्ठम् । ऋ꣣ञ्जसे । गिरा꣢ ॥१२॥,https://www.xn--j2b3a4c.com/samveda/12,2025-12-06T06:34:36.611690
13,उ꣡प꣢ त्वा जा꣣म꣢यो꣣ गि꣢रो꣣ दे꣡दि꣢शतीर्हवि꣣ष्कृ꣡तः꣢ । वा꣣यो꣡रनी꣢꣯के अस्थिरन् ॥१३॥,गायत्री,अग्निः,प्रयोगो भार्गवः,उ꣡प꣢꣯ । त्वा꣣ । जाम꣡यः꣢ । गि꣡रः꣢꣯ । दे꣡दि꣢꣯शतीः । ह꣣विष्कृ꣡तः꣢ । ह꣣विः । कृ꣡तः꣢꣯ । वा꣣योः꣢ । अ꣡नी꣢꣯के । अ꣣स्थिरन् ॥१३॥,https://www.xn--j2b3a4c.com/samveda/13,2025-12-06T06:34:38.286446
14,उ꣡प꣢ त्वाग्ने दि꣣वे꣡दि꣢वे꣣ दो꣡षा꣢वस्तर्धि꣣या꣢ व꣣य꣢म् । न꣢मो꣣ भ꣡र꣢न्त꣣ ए꣡म꣢सि ॥१४॥,गायत्री,अग्निः,मधुच्छन्दा वैश्वामित्रः,उ꣡प꣢꣯ । त्वा꣣ । अग्ने । दिवे꣡दि꣢वे । दि꣣वे꣢ । दि꣣वे । दो꣡षा꣢꣯वस्तः । दो꣡षा꣢꣯ । व꣣स्तः । धिया꣢ । व꣣य꣢म् । न꣡मः꣢꣯ । भ꣡र꣢꣯न्तः । आ । इ꣣मसि ॥१४॥,https://www.xn--j2b3a4c.com/samveda/14,2025-12-06T06:34:39.660259
15,ज꣡रा꣢बोध꣣ त꣡द्वि꣢विड्ढि वि꣣शे꣡वि꣢शे य꣣ज्ञि꣡या꣢य । स्तो꣡म꣢ꣳ रु꣣द्रा꣡य꣢ दृशी꣣क꣢म् ॥१५,गायत्री,अग्निः,शुनः शेप आजीगर्तिः,ज꣡रा꣢꣯बोध । ज꣡रा꣢꣯ । बो꣣ध । त꣢त् । वि꣣विड्ढि । विशे꣡वि꣢शे । वि꣣शे꣢ । वि꣣शे । यज्ञि꣡या꣢य । स्तो꣡म꣢꣯म् । रु꣣द्रा꣡य꣢ । दृ꣣शीक꣢म् ॥१५॥,https://www.xn--j2b3a4c.com/samveda/15,2025-12-06T06:34:41.846271
16,प्र꣢ति꣣ त्यं꣡ चारु꣢꣯मध्व꣣रं꣡ गो꣢पी꣣था꣢य꣣ प्र꣡ हू꣢यसे । म꣣रु꣡द्भि꣢रग्न꣣ आ꣡ ग꣢हि ॥१६॥,गायत्री,अग्निः,मेधातिथिः काण्वः,प्र꣡ति꣢꣯ । त्यम् । चा꣡रु꣢꣯म् । अ꣣ध्वर꣢म् । गो꣣पीथा꣡य꣢ । प्र । हू꣣यसे । मरु꣡द्भिः꣢ । अ꣣ग्ने । आ꣢ । ग꣣हि ॥१६॥,https://www.xn--j2b3a4c.com/samveda/16,2025-12-06T06:34:43.710259
17,अ꣢श्वं꣣ न꣢ त्वा꣣ वा꣡र꣢वन्तं व꣣न्द꣡ध्या꣢ अ꣣ग्निं꣡ नमो꣢꣯भिः । स꣣म्रा꣡ज꣢न्तमध्व꣣रा꣡णा꣢म् ॥१७॥,गायत्री,अग्निः,शुनः शेप आजीगर्तिः,अ꣡श्व꣢꣯म् । न । त्वा꣣ । वा꣡र꣢꣯वन्तम् व꣣न्द꣡ध्यै꣢ । अ꣣ग्नि꣢म् न꣡मो꣢꣯भिः । स꣣म्रा꣡ज꣢न्तम् । स꣣म् । रा꣡ज꣢꣯न्तम् । अ꣣ध्वरा꣡णा꣢म् ॥१७॥,https://www.xn--j2b3a4c.com/samveda/17,2025-12-06T06:34:44.882666
19,अ꣣ग्नि꣡मि꣢न्धा꣣नो꣡ मन꣢꣯सा꣣ धि꣡य꣢ꣳ सचेत꣣ म꣡र्त्यः꣢ । अ꣣ग्नि꣡मि꣢न्धे वि꣣व꣡स्व꣢भिः ॥१९॥,गायत्री,अग्निः,प्रयोगो भार्गवः,अ꣣ग्नि꣢म् । इ꣣न्धानः꣢ । म꣡न꣢꣯सा । धि꣡य꣢꣯म् स꣣चेत । म꣡र्त्यः꣢꣯ । अ꣣ग्नि꣢म् । इ꣣न्धे । वि꣣व꣡स्व꣢भिः । वि꣣ । व꣡स्व꣢भिः ॥१९॥,https://www.xn--j2b3a4c.com/samveda/19,2025-12-06T06:34:49.528061
20,आ꣢꣫दित्प्र꣣त्न꣢स्य꣣ रे꣡त꣢सो꣣ ज्यो꣡तिः꣢ पश्यन्ति वास꣣र꣢म् । प꣣रो꣢꣫ यदि꣣ध्य꣡ते꣢ दि꣣वि꣢ ॥२०॥,गायत्री,अग्निः,वत्सः काण्वः,आ꣢त् । इत् । प्र꣣त्न꣡स्य꣢ । रे꣡त꣢꣯सः । ज्यो꣡तिः꣢꣯ । प꣣श्यन्ति । वासर꣢म् । प꣣रः꣢ । यत् । इ꣣ध्य꣡ते꣢ । दि꣣वि꣢ ॥२०॥,https://www.xn--j2b3a4c.com/samveda/20,2025-12-06T06:34:52.903245
22,अ꣣ग्नि꣢स्ति꣣ग्मे꣡न꣢ शो꣣चि꣢षा꣣ य꣢ꣳ स꣣द्वि꣢श्वं꣣ न्या꣢३꣱त्रि꣡ण꣢म् । अ꣣ग्नि꣡र्नो꣢ वꣳसते र꣣यि꣢म् ॥२२॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,अ꣣ग्निः꣢ । ति꣣ग्मे꣡न꣢ । शो꣣चि꣡षा꣢ । यँ꣡ऽस꣢꣯त् । वि꣡श्व꣢꣯म् । नि । अ꣣त्रि꣡ण꣢म् । अ꣣ग्निः꣢ । नः꣣ । वँऽसते । र꣣यि꣢म् ॥२२॥,https://www.xn--j2b3a4c.com/samveda/22,2025-12-06T06:34:58.374770
23,अ꣡ग्ने꣢ मृ꣣ड꣢ म꣣हा꣢ꣳ अ꣣स्य꣢य꣣ आ꣡ दे꣢व꣣युं꣡ जन꣢꣯म् । इ꣣ये꣡थ꣢ ब꣣र्हि꣢रा꣣स꣡द꣢म् ॥२३॥,गायत्री,अग्निः,वामदेवो गौतमः,अ꣡ग्ने꣢꣯ । मृ꣣ड꣢ । म꣣हा꣢न् । अ꣣सि । अ꣡यः꣢꣯ । आ । दे꣣वयु꣢म् । ज꣡न꣢꣯म् । इ꣣ये꣡थ꣢ । ब꣣र्हिः꣢ । आ꣣स꣡द꣢म् । आ꣣ । स꣡द꣢म् ॥२३॥,https://www.xn--j2b3a4c.com/samveda/23,2025-12-06T06:35:01.454468
24,अ꣢ग्ने꣣ र꣡क्षा꣢ णो꣣ अ꣡ꣳह꣢सः꣣ प्र꣡ति꣢ स्म देव रीष꣣तः꣢ । त꣡पि꣢ष्ठैर꣣ज꣡रो꣢ दह ॥२४॥,गायत्री,अग्निः,वसिष्ठो मैत्रावरुणिः,अ꣡ग्ने꣢꣯ । र꣡क्ष꣢꣯ । नः꣣ । अँ꣡ह꣢꣯सः । प्र꣡ति꣢꣯ । स्म꣣ । देव । रीषतः꣢ । त꣡पि꣢꣯ष्ठैः । अ꣣ज꣡रः꣢ । अ꣣ । ज꣡रः꣢꣯ । द꣣ह ॥२४॥,https://www.xn--j2b3a4c.com/samveda/24,2025-12-06T06:35:05.092066
25,अ꣡ग्ने꣢ यु꣣ङ्क्ष्वा꣡ हि ये तवाश्वा꣢꣯सो देव सा꣣ध꣡वः꣢ । अ꣢रं꣣ व꣡ह꣢न्त्या꣣श꣡वः꣢ ॥२५॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,अ꣡ग्ने꣢꣯ । यु꣣ङ्क्ष्वा꣢ । हि । ये । त꣡व꣢꣯ । अ꣡श्वा꣢꣯सः । दे꣣व । साध꣡वः꣢ । अ꣡र꣢꣯म् । व꣡ह꣢꣯न्ति । आ꣣श꣡वः꣢ ॥२५॥,https://www.xn--j2b3a4c.com/samveda/25,2025-12-06T06:35:08.923494
27,अ꣣ग्नि꣢र्मू꣣र्धा꣢ दि꣣वः꣢ क꣣कु꣡त्पतिः꣢꣯ पृथि꣣व्या꣢ अ꣣य꣢म् । अ꣣पा꣡ꣳ रेता꣢꣯ꣳसि जिन्वति ॥२७॥,गायत्री,अग्निः,विरूप आङ्गिरसः,अ꣣ग्निः꣢ । मू꣣र्धा꣢ । दि꣣वः꣢ । क꣣कु꣢त् । प꣡तिः꣢꣯ । पृ꣣थिव्याः꣢ । अ꣣य꣢म् । अ꣣पां꣢ । रे꣡ताँ꣢꣯सि । जि꣣न्वति ॥२७॥,https://www.xn--j2b3a4c.com/samveda/27,2025-12-06T06:35:13.974112
28,इ꣣म꣢मू꣣ षु꣢꣫ त्वम꣣स्मा꣡क꣢ꣳ स꣣निं꣡ गा꣢य꣣त्रं꣡ नव्या꣢꣯ꣳसम् । अ꣡ग्ने꣢ दे꣣वे꣢षु꣣ प्र꣡ वो꣢चः ॥२८॥,गायत्री,अग्निः,शुनः शेप आजीगर्तिः,इ꣣म꣢म् । उ꣣ । सु꣢ । त्वम् । अ꣣स्मा꣡क꣢म् । स꣣नि꣢म् । गा꣣यत्र꣢म् । न꣡व्याँ꣢꣯सम् । अ꣡ग्ने꣢꣯ । दे꣣वे꣡षु꣢ । प्र । वो꣣चः ॥२८॥,https://www.xn--j2b3a4c.com/samveda/28,2025-12-06T06:35:19.091957
29,तं꣡ त्वा꣢ गो꣣प꣡व꣢नो गि꣣रा꣡ जनि꣢꣯ष्ठदग्ने अङ्गिरः । स꣡ पा꣢वक श्रुधी꣣ ह꣡व꣢म् ॥२९॥,गायत्री,अग्निः,गोपवन आत्रेयः,त꣢म् । त्वा꣣ । गो꣣प꣡व꣢नः । गि꣣रा꣢ । ज꣡नि꣢꣯ष्ठत् । अ꣣ग्ने । अङ्गिरः । सः꣢ । पा꣣वक । श्रुधी । ह꣡व꣢꣯म् ॥२९॥,https://www.xn--j2b3a4c.com/samveda/29,2025-12-06T06:35:22.599675
30,प꣢रि꣣ वा꣡ज꣢पतिः क꣣वि꣢र꣣ग्नि꣢र्ह꣣व्या꣡न्य꣢क्रमीत् । द꣢ध꣣द्र꣡त्ना꣢नि दा꣣शु꣡षे꣢ ॥३०॥,गायत्री,अग्निः,वामदेवो गौतमः,प꣡रि꣢꣯ । वा꣡ज꣢꣯पतिः । वा꣡ज꣢꣯ । प꣣तिः । कविः꣢ । अ꣣ग्निः꣢ । ह꣣व्या꣡नि꣢ । अ꣣क्रमीत् । द꣡ध꣢꣯त् । र꣡त्ना꣢꣯नि । दा꣣शु꣡षे꣢ ॥३०॥,https://www.xn--j2b3a4c.com/samveda/30,2025-12-06T06:35:25.612981
32,क꣣वि꣢म꣣ग्नि꣡मुप꣢꣯ स्तुहि स꣣त्य꣡ध꣢र्माणमध्व꣣रे꣢ । दे꣣व꣡म꣢मीव꣣चा꣡त꣢नम् ॥३२॥,गायत्री,अग्निः,मेधातिथिः काण्वः,क꣣वि꣢म् । अ꣣ग्नि꣢म् । उ꣡प꣢꣯ । स्तु꣣हि । स꣣त्य꣡ध꣢र्माणम् । स꣣त्य꣢ । ध꣣र्माणम् । अध्वरे꣢ । दे꣣व꣢म् । अ꣣मीवचा꣡त꣢नम् । अ꣣मीव । चा꣡त꣢꣯नम् ॥३२॥,https://www.xn--j2b3a4c.com/samveda/32,2025-12-06T06:38:03.145757
33,शं꣡ नो꣢ दे꣣वी꣢र꣣भि꣡ष्ट꣢ये꣣ शं꣡ नो꣢ भवन्तु पी꣣त꣡ये꣢ । शं꣢꣫ योर꣣भि꣡ स्र꣢वन्तु नः ॥३३॥,गायत्री,अग्निः,"सिन्धुद्वीप आम्बरीषः, त्रित आप्त्यो वा",श꣢म् । नः꣢ । देवीः꣢ । अ꣣भि꣡ष्ट꣢ये । शम् । नः꣣ । भवन्तु । पीत꣡ये꣢ । शम् । योः । अ꣣भि꣢ । स्र꣣वन्तु । नः ॥३३॥,https://www.xn--j2b3a4c.com/samveda/33,2025-12-06T06:38:05.580385
34,क꣡स्य꣢ नू꣣नं꣡ प꣢꣯रीणसि꣣ धि꣡यो꣢ जिन्वसि सत्पते । गो꣡षा꣢ता꣣ य꣡स्य꣢ ते꣣ गि꣡रः꣢ ॥३४॥,गायत्री,अग्निः,उशना काव्यः,क꣡स्य꣢꣯ । नू꣣न꣢म् । प꣡री꣢꣯णसि । प꣡रि꣢꣯ । न꣣सि । धि꣡यः꣢꣯ । जि꣣न्वसि । सत्पते । सत् । पते । गो꣡षा꣢꣯ता । गो꣢ । सा꣣ता । य꣡स्य꣢꣯ । ते꣣ । गि꣡रः꣢꣯ ॥३४॥,https://www.xn--j2b3a4c.com/samveda/34,2025-12-06T06:38:11.348217
