Adhyay,Mantra Number,Mantra,Chanda,Devata,Rishi,Padpath,URL,ScrapedAtUTC
1,1,इ॒षे त्वो॒र्जे त्वा॑ वा॒यव॑ स्थ दे॒वो वः॑ सवि॒ता प्रार्प॑यतु॒ श्रेष्ठ॑तमाय॒ कर्म॑ण॒ऽआप्या॑यध्वमघ्न्या॒ऽइन्द्रा॑य भा॒गं प्र॒जाव॑तीरनमी॒वाऽअ॑य॒क्ष्मा मा व॑ स्ते॒नऽई॑शत॒ माघश॑ꣳसो ध्रु॒वाऽअ॒स्मिन् गोप॑तौ स्यात ब॒ह्वीर्यज॑मानस्य प॒शून् पा॑हि ॥१॥,"स्वराड्बृहती, ब्राह्मी उष्णिक्,",सविता देवता,परमेष्ठी प्रजापतिर्ऋषिः,इ॒षे। त्वा॒। ऊ॒र्ज्जे। त्वा॒। वा॒यवः॑। स्थ॒। दे॒वः। वः॒। स॒वि॒ता। प्र। अ॒र्प॒य॒तु॒। श्रे॑ष्ठतमा॒येति॒ श्रे॑ष्ठऽतमाय। कर्म्म॑णे। आ। प्या॒य॒ध्व॒म्। अ॒घ्न्याः॒। इन्द्रा॑य। भा॒गं। प्र॒जाव॑ती॒रिति॑। प्र॒जाऽव॑तीः। अ॒न॒मी॒वाः। अ॒य॒क्ष्माः। मा। वः॒। स्ते॒नः। ई॒श॒त॒। मा अ॒घश॑ꣳसः॒ इत्य॒घऽश॑ꣳसः। ध्रुवाः। अस्मिन्। गोप॑ता॒विति॒ गोऽप॑तौ। स्या॒त॒। ब॒ह्वीः। यज॑मानस्य। प॒शून्। पा॒हि॒ ॥१॥,https://www.xn--j2b3a4c.com/yajurveda/1/1,2025-12-05T02:43:34.701006
1,2,वसोः॑ प॒वित्र॑मसि॒ द्यौर॑सि पृथि॒व्य᳖सि मात॒रिश्व॑नो घ॒र्मोऽसि वि॒श्वधा॑ऽअसि। प॒र॒मेण॒ धाम्ना॒ दृꣳह॑स्व॒ मा ह्वा॒र्मा ते॑ य॒ज्ञप॑तिर्ह्वार्षीत् ॥२॥,"स्वराट् आर्षी त्रिष्टुप्,",यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,वसोः॑। प॒वित्र॑म्। अ॒सि॒। द्यौः। अ॒सि॒। पृ॒थि॒वी। अ॒सि॒। मा॒त॒रिश्व॑नः। घ॒र्मः। असि॒। वि॒श्वधा॒ इति॑ वि॒श्वधाः॑। अ॒सि॒। प॒र॒मेण॑। धाम्ना॑। दृꣳह॑स्व। मा। ह्वाः। मा। ते॒। य॒ज्ञप॑ति॒रिति॑ य॒ज्ञऽप॑तिः। ह्वा॒र्षी॒त् ॥२॥,https://www.xn--j2b3a4c.com/yajurveda/1/2,2025-12-05T02:43:36.853442
1,4,सा वि॒श्वायुः॒ सा वि॒श्वक॑र्मा॒ सा वि॒श्वधा॑याः। इन्द्र॑स्य त्वा भा॒गꣳ सोमे॒नात॑नच्मि॒ विष्णो॑ ह॒व्यꣳर॑क्ष ॥४॥,अनुष्टुप्,विष्णुर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,सा। वि॒श्वायु॒रिति॑ वि॒श्वऽआ॑युः। सा। वि॒श्वक॒र्मेति॑ वि॒श्वऽक॑र्मा। सा। विश्वधा॑या॒ इति॑ वि॒श्वऽधा॑याः। इन्द्र॑स्य। त्वा॒। भा॒गं। सोमे॑न। आ। त॒न॒च्मि॒। विष्णो॒ इति॒ वि॒ष्णो॑। ह॒व्यं। र॒क्ष॒ ॥४॥,https://www.xn--j2b3a4c.com/yajurveda/1/4,2025-12-05T02:43:42.541388
1,5,अग्ने॑ व्रतपते व्र॒तं च॑रिष्यामि॒ तच्छ॑केयं॒ तन्मे॑ राध्यताम्। इ॒दम॒हमनृ॑तात् स॒त्यमुपै॑मि ॥५॥,आर्ची त्रिष्टुप्,अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,अग्ने॑। व्र॒त॒प॒त॒ इति॑ व्रतऽपते। व्र॒तं। च॒रि॒ष्या॒मि॒। तत्। श॒के॒यं॒। तत्। मे॒। रा॒ध्यता॒म्। इ॒दं। अ॒हं। अनृ॑तात्। स॒त्यं। उप॑ ए॒मि॒ ॥५॥,https://www.xn--j2b3a4c.com/yajurveda/1/5,2025-12-05T02:43:44.636611
1,6,कस्त्वा॑ युनक्ति॒ स त्वा॑ युनक्ति॒ कस्मै॑ त्वा युनक्ति॒ तस्मै॑ त्वा युनक्ति। कर्म॑णे वां॒ वेषा॑य वाम् ॥६॥,आर्ची पङ्क्तिः,प्रजापतिर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,कः। त्वा॒। यु॒न॒क्ति॒। सः। त्वा॒। यु॒न॒क्ति॒। कस्मै॑। त्वा॒। यु॒न॒क्ति॒। तस्मै॑। त्वा॒। यु॒न॒क्ति॒। कर्म्म॑णे। वां॒। वेषा॑य। वा॒म् ॥६॥,https://www.xn--j2b3a4c.com/yajurveda/1/6,2025-12-05T02:43:47.276940
1,7,प्रत्यु॑ष्ट॒ꣳरक्षः॒ प्रत्यु॑ष्टा॒ऽअरा॑तयो॒ निष्ट॑प्त॒ꣳरक्षो॒ निष्ट॑प्ता॒ऽअरा॑तयः। उ॒र्व᳕न्तरि॑क्ष॒मन्वे॑मि ॥७॥,प्राजापत्या जगती,यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,प्रत्यु॑ष्ट॒मिति॒ प्रति॑ऽउष्टम्। रक्षः॑। प्रत्यु॑ष्टा॒ इति॒ प्रति॑ऽउष्टाः। अरा॑तयः। निष्ट॑प्तम्। निस्त॑प्त॒मिति॒। निःऽत॑प्तम्। रक्षः॑। निष्ट॑प्ताः। निस्त॑प्ता॒ इति॒ निःऽत॑प्ताः। अरा॑तयः। उ॒रु। अ॒न्तरि॑क्षम्। अनु॑ऽए॒मि॒ ॥७॥,https://www.xn--j2b3a4c.com/yajurveda/1/7,2025-12-05T02:43:49.570026
1,8,धूर॑सि॒ धूर्व॒ धूर्व॑न्तं॒ धूर्व॒ तं यो॒ऽस्मान् धूर्व॑ति॒ तं धू॑र्व॒ यं व॒यं धूर्वा॑मः। दे॒वाना॑मसि॒ वह्नि॑तम॒ꣳ सस्नि॑तमं॒ पप्रि॑तमं॒ जुष्ट॑तमं देव॒हूत॑मम् ॥८॥,निचृत् अतिजगती,अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,धूः। अ॒सि॒। धूर्व॑। धूर्व॑न्तं। धूर्व॑। तं। यः। अ॒स्मान्। धूर्व॑ति। तं। धू॒र्व॒। यं। व॒यं। धूर्वा॑मः। दे॒वाना॑म्। अ॒सि॒। वह्नि॑तम॒मिति॒ वह्नि॑ऽतमम्। सस्नि॑तम॒मिति॒ सस्नि॑ऽतमम्। पप्रि॑तम॒मिति॒ पप्रि॑ऽतमम्। जुष्ट॑तम॒मिति॒ जुष्ट॑ऽतमम्। दे॒व॒हूत॑म॒मिति दे॒व॒हूऽत॑मम् ॥८॥,https://www.xn--j2b3a4c.com/yajurveda/1/8,2025-12-05T02:43:51.329726
1,9,अह्रु॑तमसि हवि॒र्धानं॒ दृꣳह॑स्व॒ मा ह्वा॒र्मा ते॑ य॒ज्ञप॑तिर्ह्वार्षीत्। विष्णु॑स्त्वा क्रमतामु॒रु वाता॒याप॑हत॒ꣳरक्षो॒ यच्छ॑न्तां॒ पञ्च॑ ॥९॥,"निचृत् त्रिष्टुप्,",विष्णुर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,अह्रु॑तम्। अ॒सि॒। ह॒वि॒र्धान॒मिति॑ हविः॒ऽधान॑म्। दृꣳह॑स्व। मा। ह्वाः॒। मा। ते॒। य॒ज्ञप॑ति॒रिति॑ य॒ज्ञऽप॑तिः। ह्वा॒र्षी॒त्। विष्णुः॑। त्वा॒। क्र॒म॒तां॒। उ॒रु। वाता॒य। अप॑हत॒मित्यप॑ऽहतम्। रक्षः॑। यच्छ॑न्ताम्। पञ्च॑ ॥९॥,https://www.xn--j2b3a4c.com/yajurveda/1/9,2025-12-05T02:43:53.746797
1,10,दे॒वस्य॑ त्वा सवि॒तुः प्र॑स॒वे᳕ऽश्विनो॑र्बा॒हुभ्यां॑ पू॒ष्णो हस्ता॑भ्याम्। अ॒ग्नये॒ जुष्टं॑ गृह्णाम्य॒ग्नीषोमा॑भ्यां॒ जुष्टं॑ गृह्णामि ॥१०॥,"भूरिग् बृहती,",सविता देवता,परमेष्ठी प्रजापतिर्ऋषिः,दे॒वस्य॑। त्वा॒। सवि॒तुः। प्र॒स॒व इति॑ प्रऽस॒वे। अ॒श्विनोः॑। बा॒हुभ्या॒मिति॑ बा॒हुभ्या॑म्। पू॒ष्णः। हस्ता॑भ्याम्। अ॒ग्नये॑। जुष्ट॑म्। गृ॒ह्णा॒मि॒। अ॒ग्नीषोमा॑भ्याम्। जुष्ट॑म्। गृ॒ह्णा॒मि॒ ॥१०॥,https://www.xn--j2b3a4c.com/yajurveda/1/10,2025-12-05T02:43:56.033950
1,11,भू॒ताय॑ त्वा॒ नारा॑तये॒ स्व᳖रभि॒विख्ये॑षं॒ दृꣳह॑न्तां॒ दुर्याः॑ पृथि॒व्यामु॒र्व᳕न्तरि॑क्ष॒मन्वे॑मि। पृ॒थि॒व्यास्त्वा॒ नाभौ॑ सादया॒म्यदि॑त्याऽउ॒पस्थेऽग्ने॑ ह॒व्यꣳ र॑क्ष ॥११॥,"स्वराड् जगती,",अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,भू॒ताय॑। त्वा॒। न। अरा॑तये। स्वः॑। अ॒भि॒विख्ये॑ष॒मित्य॑भि॒ऽविख्ये॑षम्। दृꣳह॑न्ताम्। दुर्य्याः॑। पृ॒थि॒व्याम्। उ॒रु। अ॒न्तरि॑क्षम्। अनु। ए॒मि॒। पृ॒थि॒व्याः। त्वा॒। नाभौ॑। सा॒द॒या॒मि॒। अदि॑त्याः। उ॒पस्थ॒ इत्यु॒पऽस्थे॑। अग्ने॑। ह॒व्यम् र॒क्ष॒ ॥११॥,https://www.xn--j2b3a4c.com/yajurveda/1/11,2025-12-05T02:43:57.504139
1,12,प॒वित्रे॑ स्थो वैष्ण॒व्यौ᳖ सवि॒तुर्वः॑ प्रस॒व उत्पु॑ना॒म्यच्छि॑द्रेण प॒वित्रे॑ण॒ सूर्य्य॑स्य रश्मिभिः॑। देवी॑रापोऽअग्रेगुवोऽअग्रेपु॒वोऽग्र॑ऽइ॒मम॒द्य य॒ज्ञं न॑य॒ताग्रे॑ य॒ज्ञप॑तिꣳ सु॒धातुं॑ य॒ज्ञप॑तिं देव॒युव॑म् ॥१२॥,"भूरिग् अत्यष्टिः,",अप्सवितारौ देवते,परमेष्ठी प्रजापतिर्ऋषिः,प॒वित्रे॒ऽइति॑ प॒वित्रे॑। स्थः॒। वै॒ष्ण॒व्यौ᳖। स॒वि॒तुः। वः॒। प्र॒स॒व इति॑ प्र॒ऽस॒वे। उत्। पु॒ना॒मि॒। अच्छि॑द्रेण। प॒वित्रे॑ण। सूर्य्य॑स्य। र॒श्मिभि॒रिति॑ र॒श्मिऽभिः॑। देवीः॑। आ॒पः॒। अ॒ग्रे॒गु॒व॒ इत्य॑ग्रेऽगुवः। अ॒ग्रे॒पु॒व॒ इत्य॑ग्रेऽपुवः॒। अग्रे॑। इ॒मम्। अ॒द्य। य॒ज्ञम्। न॒य॒त॒। अग्रे॑। य॒ज्ञप॑ति॒मिति॑ य॒ज्ञऽप॑तिम्। सु॒धातु॒मिति॑ सु॒धाऽतु॑म्। य॒ज्ञप॑ति॒मिति॑ यज्ञऽप॑तिम्। दे॒व॒युव॒मिति॑ देव॒ऽयुव॑म् ॥१२॥,https://www.xn--j2b3a4c.com/yajurveda/1/12,2025-12-05T02:44:00.011532
1,13,यु॒ष्माऽइन्द्रो॑ऽवृणीत वृत्र॒तूर्य्ये॑ यू॒यमिन्द्र॑मवृणीध्वं वृत्र॒तूर्ये॒ प्रोक्षि॑ता स्थ। अ॒ग्नये॑ त्वा॒ जुष्टं॒ प्रोक्षा॑म्य॒ग्नीषोमा॑भ्यां त्वा॒ जुष्टं॒ प्रोक्षा॑मि। दैव्या॑य॒ कर्म॑णे शुन्धध्वं देवय॒ज्यायै॒ यद्वोऽशु॑द्धाः पराज॒घ्नुरि॒दं व॒स्तच्छु॑न्धामि ॥१३॥,"निचृद् उष्णिक्, भूरिग् आर्ची गायत्री, भुरिग् उष्णिक्,",इन्द्रो देवता। अग्निर्यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,यु॒ष्माः। इन्द्रः॑। अ॒वृ॒णी॒त॒। वृ॒त्र॒तूर्य्य॒ इति॑ वृत्र॒ऽतूर्य्ये॑। यू॒यम्। इन्द्र॑म्। अ॒वृ॒णी॒ध्व॒म्। वृ॒त्र॒तूर्य्य॒ इति॑ वृ॒त्र॒ऽतूर्य्ये॑। प्रोक्षि॑ता॒ इति॒ प्रऽउ॑क्षिताः। स्थ॒। अ॒ग्नये॑। त्वा॒। जुष्ट॑म्। प्र। उ॒क्षा॒मि॒। अ॒ग्नीषोमा॑भ्याम्। त्वा॒। जुष्ट॑म्। प्रऽउ॒क्षा॒मि॒ ॥ दैव्या॑य। कर्म॑णे। शु॒न्ध॒ध्व॒म्। दे॒व॒य॒ज्याया॒ इति॑ देवऽय॒ज्यायै॑। यत्। वः॒। अशु॑द्धाः। प॒रा॒ज॒घ्नुरिति॑ पराऽज॒घ्नुः। इ॒दम्। वः॒ तत्। शु॒न्धा॒मि॒ ॥१३॥,https://www.xn--j2b3a4c.com/yajurveda/1/13,2025-12-05T02:44:01.117436
1,14,शर्मा॒स्यव॑धूत॒ꣳ रक्षोऽव॑धूता॒ऽअरा॑त॒योऽदि॑त्या॒स्त्वग॑सि॒ प्रति॒ त्वादि॑तिर्वेत्तु। अद्रि॑रसि वानस्प॒त्यो ग्रावा॑सि पृ॒थुबु॑ध्नः॒ प्रति॒ त्वादि॑त्या॒स्त्वग्वे॑त्तु ॥१४॥,"स्वराड् जगती,",यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,शर्म॑। अ॒सि॒। अव॑धूत॒मित्यव॑ऽधूतम्। रक्षः॑। अव॑धूता॒ इत्यव॑धूताः। अरा॑तयः। अदि॑त्याः। त्वक्। अ॒सि॒। प्रति॑। त्वा॒। अदि॑तिः। वे॒त्तु॒। अद्रिः॑। अ॒सि॒। वा॒न॒स्प॒त्यः। ग्रावा॑। अ॒सि॒। पृ॒थुबु॑ध्न॒ इति॑ पृ॒थुबु॑ध्नः। प्रति॑। त्वा॒। अदि॑त्याः। त्वक्। वे॒त्तु॒ ॥१४॥,https://www.xn--j2b3a4c.com/yajurveda/1/14,2025-12-05T02:44:03.653527
1,15,अ॒ग्नेस्त॒नूर॑सि वा॒चो वि॒सर्ज॑नं दे॒ववी॑तये त्वा गृह्णामि बृ॒हद् ग्रा॑वासि वानस्प॒त्यः सऽइ॒दं दे॒वेभ्यो॑ ह॒विः श॑मीष्व सु॒शमि॑ शमीष्व। हवि॑ष्कृ॒देहि॒ हवि॑ष्कृ॒देहि॑ ॥१५॥,"निचृद् जगती, याजुषी पङ्क्तिः,",यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,अ॒ग्नेः। त॒नूः। अ॒सि॒। वा॒चः। वि॒सर्ज॑न॒मिति॑ वि॒ऽसर्ज॑नम्। दे॒ववी॑तय॒ इति॑ दे॒वऽवी॑तये। त्वा॒। गृ॒ह्णा॒मि॒। बृ॒हद्ग्रा॒वेति॑ बृ॒हत्ऽग्रा॑वा। अ॒सि॒। वा॒न॒स्प॒त्यः। सः। इ॒दम्। दे॒वेभ्यः॑। ह॒विः। श॒मी॒ष्व॒। श॒मि॒ष्वेति॑ शमिष्व। सु॒शमीति॑ सु॒ऽशमि॑। श॒मी॒ष्व॒। श॒मि॒ष्वेति॑ शमिष्व। हवि॑ष्कृत्। हविः॑कृ॒दिति॒ हविः॑कृत्। आ। इ॒हि॒। हवि॑ष्कृत्। हविः॑कृ॒दिति॒ हविः॑ऽकृत्। आ। इ॒हि॒ ॥१५॥,https://www.xn--j2b3a4c.com/yajurveda/1/15,2025-12-05T02:44:06.061303
1,16,कु॒क्कु॒टो᳖ऽसि॒ मधु॑जिह्व॒ऽइष॒मूर्ज॒माव॑द॒ त्वया॑ व॒यꣳ स॑ङ्घा॒तꣳ स॑ङ्घातं जेष्म व॒र्षवृ॑द्धमसि॒ प्रति॑ त्वा व॒र्षवृ॑द्धं वेत्तु॒ परा॑पूत॒ꣳ रक्षः॒ परा॑पूता॒ अरा॑त॒योऽप॑हत॒ꣳ रक्षो॑ वा॒युर्वो॒ विवि॑नक्तु दे॒वो वः॑ सवि॒ता हिर॑ण्यपाणिः॒ प्रति॑गृभ्णा॒त्वच्छि॑द्रेण पा॒णिना॑ ॥१६॥,"स्वराड् ब्राह्मी त्रिष्टुप्, विराड् गायत्री,",वायुः सविता देवता,परमेष्ठी प्रजापतिर्ऋषिः,कु॒क्कु॒टः। अ॒सि॒। मधु॑जिह्व॒ इति॒ मधु॑ऽजिह्वः। इष॑म्। ऊर्ज्ज॑म्। आ। वद॒। त्वया॑। व॒यं। सं॒घा॒तम् सं॑घात॒मि॑ति संघा॒तꣳसं॑घातम्। जे॒ष्म॒। व॒र्षवृद्ध॒मिति व॒र्षऽवृद्ध॑म्। अ॒सि॒। प्रति। त्वा॒। व॒र्षवृ॑द्ध॒मिति व॒र्षऽवृ॑द्धम्। वे॒त्तु॒। परा॑पूत॒मिति॒। परा॑ऽपूतम्। रक्षः॑। परा॑पूता॒ इति॒ परा॑ऽपूताः। अरा॑तयः। अप॑हत॒मित्यप॑ऽहतम्। रक्षः॑। वा॒युः। वः॒। वि। वि॒न॒क्तु दे॒वः। वः॒। स॒वि॒ता। हिर॑ण्यपाणि॒रिति॒ हिर॑ण्यऽपाणिः। प्रति॑। गृ॒भ्णा॒तु॒। अच्छिद्रेण। पा॒णिना॑ ॥१६॥,https://www.xn--j2b3a4c.com/yajurveda/1/16,2025-12-05T02:44:08.157617
1,17,धृष्टि॑र॒स्यपा॑ऽग्नेऽअ॒ग्निमा॒मादं॑ जहि॒ निष्क्र॒व्याद॑ꣳ से॒धा दे॑व॒यजं॑ वह। ध्रु॒वम॑सि पृथि॒वीं दृ॑ꣳह ब्रह्म॒वनि॑ त्वा क्षत्र॒वनि॑ सजात॒वन्युप॑दधामि॒ भ्रातृ॑व्यस्य व॒धाय॑ ॥१७॥,"निचृद् ब्राह्मी पङ्क्तिः,",अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,धृष्टिः। अ॒सि। अप॑। अ॒ग्ने॒। अ॒ग्निम्। आ॒माद॒मित्या॑मऽअद॑म्। ज॒हि॒। निष्क्र॒व्याद॒मिति निष्क्रव्य॒ऽअद॑म्। सेध॒। आ। दे॒व॒यज॒मिति। देव॒ऽयज॑म्। व॒ह॒। ध्रु॒वम्। अ॒सि॒। पृ॒थिवी॑म्। दृ॒ꣳह॒। ब्र॒ह्म॒वनीति ब्रह्म॒ऽवनि॑। त्वा॒। क्ष॒त्र॒वनीति॑ क्षत्र॒ऽवनि॑। स॒जा॒त॒वनीति॑ सजात॒ऽवनि॑। उप॑ऽद॒धा॒मि॒। भ्रातृ॑व्यस्य व॒धाय॑ ॥१७॥,https://www.xn--j2b3a4c.com/yajurveda/1/17,2025-12-05T02:44:10.665047
1,19,शर्मा॒स्यव॑धूत॒ꣳ रक्षोऽव॑धूता॒ऽअरा॑त॒योऽदि॑त्या॒स्त्वग॑सि॒ प्रति॒ त्वादि॑तिर्वेतु। धि॒षणा॑सि पर्व॒ती प्रति॒ त्वादि॑त्या॒स्त्वग्वे॑त्तु दि॒वः स्क॑म्भ॒नीर॑सि धि॒षणा॑सि पार्वते॒यी प्रति॑ त्वा पर्व॒ती वे॑त्तु ॥१९॥,"निचृद् ब्राह्मी त्रिष्टुप्,",अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,शर्म॑। अ॒सि॒। अव॑धूत॒मित्यव॑ऽधूतम्। रक्षः॑। अव॑धूता॒ इत्यव॑ऽधूताः। अरा॑तयः। अदि॑त्याः। त्वक्। अ॒सि॒। प्रति॑। त्वा॒। अदि॑तिः। वे॒त्तु॒। धि॒षणा॑। अ॒सि॒। प॒र्व॒ती। प्रति॑। त्वा॒। अदि॑त्याः। त्वक्। वे॒त्तु॒। दि॒वः। स्क॒म्भ॒नीः। अ॒सि॒। धिषणा॑। अ॒सि॒। पा॒र्व॒ते॒यी। प्रति॑। त्वा॒। प॒र्व॒ती वे॒त्तु॒ ॥१९॥,https://www.xn--j2b3a4c.com/yajurveda/1/19,2025-12-05T02:44:14.116205
